w_if,w_lof,w_z,w_ae,stability,br_rank_corr,objective
0.4,0.15000000000000002,0.30000000000000004,0.15000000000000002,0.8329411764705881,0.5502482399663584,0.8040326482268836
0.55,0.1,0.05,0.30000000000000004,0.8411764705882352,0.5300095077532496,0.80309061223243
0.5,0.1,0.35000000000000003,0.05,0.8188235294117646,0.5745405004378509,0.8030468898153451
0.4,0.15000000000000002,0.25,0.2,0.8341176470588233,0.5411504095430606,0.8023464259151768
0.4,0.05,0.35000000000000003,0.2,0.8258823529411764,0.5541686885838374,0.8014833486165476
0.2,0.05,0.6000000000000001,0.15000000000000002,0.8223529411764706,0.5595323888782356,0.8010595678077943
0.25,0.05,0.6000000000000001,0.1,0.8188235294117646,0.5664359607937247,0.8010207549043136
0.35000000000000003,0.05,0.4,0.2,0.8247058823529411,0.5538240168582477,0.8008089453910325
0.30000000000000004,0.1,0.35000000000000003,0.25,0.8305882352941175,0.5416898242892649,0.800716573719375
0.2,0.15000000000000002,0.55,0.1,0.8211764705882352,0.5596730540936286,0.8005064988175248
0.1,0.05,0.2,0.65,0.844705882352941,0.5117564482278083,0.8002920532334226
0.2,0.1,0.65,0.05,0.8141176470588234,0.5717266717815276,0.7999904914747936
0.1,0.05,0.8,0.05,0.8117647058823527,0.5752230273589605,0.7996881097809165
0.1,0.2,0.65,0.05,0.8176470588235294,0.562204783274748,0.7993747252304517
0.35000000000000003,0.1,0.45,0.1,0.8152941176470587,0.5662931282713353,0.7992203408913632
0.05,0.1,0.8,0.05,0.8117647058823527,0.5730091931750532,0.7991346512349397
0.7000000000000001,0.05,0.2,0.05,0.8094117647058823,0.5772463133099882,0.7990174606804382
0.6000000000000001,0.05,0.30000000000000004,0.05,0.8094117647058823,0.5767167912715265,0.7988850801708227
0.1,0.30000000000000004,0.5,0.1,0.8352941176470589,0.5248034615645724,0.7988479242146724
0.25,0.1,0.6000000000000001,0.05,0.8105882352941177,0.5729917498493869,0.7985420551094056
0.45,0.1,0.05,0.4,0.8376470588235294,0.5188042858848297,0.7985246008829722
0.35000000000000003,0.25,0.35000000000000003,0.05,0.82,0.5537043954946606,0.7984260988736651
0.75,0.15000000000000002,0.05,0.05,0.8141176470588235,0.5647254661814978,0.7982401900747862
0.6000000000000001,0.1,0.2,0.1,0.8141176470588235,0.5645899395810807,0.798206308424682
0.2,0.05,0.05,0.7000000000000001,0.8423529411764705,0.5068327462102861,0.7978846571408068
0.45,0.30000000000000004,0.2,0.05,0.8258823529411764,0.5397327810278915,0.7978743717275611
0.25,0.1,0.45,0.2,0.82,0.549776326346129,0.7974440815865322
0.2,0.15000000000000002,0.6000000000000001,0.05,0.8105882352941175,0.5685320962250903,0.7974271417033314
0.05,0.1,0.75,0.1,0.8117647058823529,0.5651431971268119,0.7971681522228795
0.75,0.05,0.1,0.1,0.8117647058823529,0.5648342160535372,0.7970909069545608
0.05,0.05,0.8500000000000001,0.05,0.8070588235294117,0.5741525874420224,0.7970675586252114
0.65,0.2,0.1,0.05,0.8141176470588235,0.5598431527362979,0.7970196117134862
0.5,0.05,0.35000000000000003,0.1,0.8094117647058822,0.5685289850908531,0.7968381286256543
0.35000000000000003,0.05,0.45,0.15000000000000002,0.8129411764705883,0.5612141491944753,0.7967741255339129
0.2,0.30000000000000004,0.45,0.05,0.8235294117647058,0.5399921587361953,0.7967627455664017
0.55,0.05,0.2,0.2,0.816470588235294,0.5529627220664822,0.7964759746342676
0.15000000000000002,0.1,0.45,0.30000000000000004,0.8258823529411764,0.5338962582425878,0.7964152410312351
0.25,0.2,0.5,0.05,0.8117647058823529,0.5616799803724885,0.7963023480342986
0.55,0.1,0.15000000000000002,0.2,0.8188235294117647,0.5473772223705762,0.7962560702985264
0.30000000000000004,0.05,0.6000000000000001,0.05,0.804705882352941,0.5755891624151295,0.7962502317802529
0.55,0.05,0.35000000000000003,0.05,0.8035294117647059,0.5778060727767093,0.7962162240765303
0.2,0.1,0.55,0.15000000000000002,0.8129411764705883,0.5573338656695626,0.7958040546526848
0.1,0.1,0.75,0.05,0.804705882352941,0.5736686487636181,0.795770103367375
0.30000000000000004,0.05,0.55,0.1,0.808235294117647,0.5665835124523164,0.7957635251719026
0.25,0.1,0.55,0.1,0.8094117647058823,0.564048077875364,0.7957179018217821
0.6000000000000001,0.05,0.15000000000000002,0.2,0.8152941176470588,0.5518621495909783,0.795612596221274
0.4,0.05,0.4,0.15000000000000002,0.8105882352941177,0.5609559250527988,0.7955330989102585
0.4,0.1,0.45,0.05,0.8035294117647059,0.5744741179219386,0.7953832353628376
0.65,0.15000000000000002,0.05,0.15000000000000002,0.8176470588235294,0.5462112811195294,0.795376349691647
0.35000000000000003,0.2,0.4,0.05,0.8094117647058822,0.5626271634431356,0.7953626732137249
0.35000000000000003,0.1,0.4,0.15000000000000002,0.811764705882353,0.5579078175014549,0.7953593073165403
0.30000000000000004,0.25,0.35000000000000003,0.1,0.8188235294117647,0.5437877075488536,0.7953586915930958
0.45,0.15000000000000002,0.15000000000000002,0.25,0.8247058823529411,0.5319766884183169,0.7953471132810497
0.2,0.35000000000000003,0.4,0.05,0.8294117647058825,0.5224299807507699,0.7953133775406337
0.75,0.05,0.05,0.15000000000000002,0.8117647058823527,0.5577128647414535,0.7953105691265397
0.25,0.30000000000000004,0.4,0.05,0.8211764705882352,0.5385709646514513,0.7952309764569804
0.15000000000000002,0.1,0.65,0.1,0.808235294117647,0.5643505220710844,0.7952052775765945
0.30000000000000004,0.1,0.55,0.05,0.8035294117647058,0.5736640694536738,0.7951807232457714
0.5,0.05,0.4,0.05,0.8011764705882353,0.5774721327164092,0.7949562684732199
0.5,0.1,0.30000000000000004,0.1,0.8070588235294118,0.5653486368561517,0.7948665709787438
0.1,0.05,0.75,0.1,0.804705882352941,0.5686215850301115,0.7945083374339984
0.5,0.1,0.25,0.15000000000000002,0.8105882352941177,0.5567505105218301,0.7944817452775164
0.30000000000000004,0.15000000000000002,0.30000000000000004,0.25,0.8223529411764704,0.5330196524755884,0.7944313837071323
0.1,0.1,0.65,0.15000000000000002,0.8105882352941174,0.5560184851054432,0.7942987389234195
0.55,0.2,0.15000000000000002,0.1,0.8141176470588235,0.5489413188908386,0.7942941532521215
0.45,0.05,0.45,0.05,0.8,0.5768931471392343,0.7942232867848086
0.15000000000000002,0.1,0.7000000000000001,0.05,0.8011764705882353,0.5743763444111399,0.7941823213969026
0.15000000000000002,0.05,0.55,0.25,0.8164705882352941,0.5437481716744478,0.794172337036259
0.65,0.05,0.25,0.05,0.8,0.5766159765396197,0.794153994134905
0.15000000000000002,0.15000000000000002,0.65,0.05,0.8023529411764706,0.5715511199148022,0.7940642505669359
0.2,0.05,0.45,0.30000000000000004,0.8188235294117646,0.5385404475706763,0.7940468765985513
0.05,0.2,0.7000000000000001,0.05,0.8070588235294117,0.5613920781075841,0.7938774312916019
0.15000000000000002,0.05,0.6000000000000001,0.2,0.8129411764705883,0.5491596226359003,0.7937604938942693
0.7000000000000001,0.1,0.05,0.15000000000000002,0.8105882352941175,0.5534365233411926,0.7936532484823569
0.2,0.1,0.5,0.2,0.8129411764705882,0.5486062602204758,0.7936221532904131
0.5,0.2,0.1,0.2,0.8223529411764704,0.5297545345720679,0.7936151042312523
0.05,0.05,0.8,0.1,0.8035294117647058,0.5671604705487525,0.7935548235195411
0.55,0.1,0.25,0.1,0.804705882352941,0.5647692318002034,0.7935452491265214
0.25,0.15000000000000002,0.30000000000000004,0.30000000000000004,0.8247058823529412,0.5245792851166813,0.793497762455641
0.2,0.05,0.65,0.1,0.8035294117647059,0.566696352242398,0.7934387939429525
0.6000000000000001,0.1,0.25,0.05,0.8,0.5736909510517445,0.7934227377629361
0.65,0.1,0.2,0.05,0.8,0.5734405921370718,0.793360148034268
0.15000000000000002,0.15000000000000002,0.6000000000000001,0.1,0.8070588235294117,0.5587233541503402,0.7932102503022909
0.7000000000000001,0.05,0.15000000000000002,0.1,0.8035294117647058,0.5657702829366856,0.7932072766165243
0.65,0.15000000000000002,0.1,0.1,0.808235294117647,0.5562302170163861,0.7931752013129201
0.15000000000000002,0.05,0.5,0.30000000000000004,0.8176470588235293,0.5373691929218315,0.7931658276422224
0.05,0.25,0.6000000000000001,0.1,0.8152941176470588,0.5419744755936744,0.7931406777219481
0.7000000000000001,0.2,0.05,0.05,0.8070588235294117,0.5582592008874213,0.7930942119865612
0.2,0.2,0.45,0.15000000000000002,0.8152941176470587,0.541362106497439,0.7929875854478892
0.30000000000000004,0.1,0.2,0.4,0.8247058823529411,0.5225043683199437,0.7929790332564565
0.5,0.2,0.2,0.1,0.8105882352941177,0.5507168327129639,0.7929733258252998
