ROTTA,n_months,n_alarmed_slope,n_entered_slope
SSH-BLQ,2,-10099.0,-31006.0
SAW-VCE,2,10100.0,-16058959.0
LTN-TSF,2,0.0,100.0
MAN-TRN,2,0.0,1.0
MAN-VCE,2,-11.0,-111.0
LGW-FLR,2,-3000001030.0,-1111108990.0
SSH-CTA,2,0.08333333333333333,0.8333333333333334
IST-NAP,2,11.0,10.0
LGW-BGY,2,-10.0,-51.0
STN-AOI,2,110.0,-1009.0
SKP-MXP,2,-201.0,-221101.0
JAX-FCO,2,0.0,-21.0
LCY-LIN,2,100.0,11100.0
SKP-VCE,2,890.0,1000.0
LTN-TRN,2,200.0,2201.0
MBA-FCO,2,0.0,0.0
LAD-MXP,2,1.0,13141.0
JED-VCE,2,-1101.0,-2130.0
JFK -MXP,2,0.0,20.0
JFK-BLQ,2,0.0,-20.0
LTN-NAP,2,-4.0,-1.0
TGD-MXP,2,0.0,0.0
HAN-MXP,2,1.0,0.0
RAK-FCO,2,0.0,20.0
BKK-BLQ,2,-1.0,0.0
MRU-FCO,2,0.0,-11.0
BKK-FCO,2,-11000.0,-11000.0
TIA-TRS,2,-11320780903100.0,3.193022769178947e+16
TIA-SUF,2,-304090509.0,-2174324512670.0
RAK-MXP,2,0.0,151204.0
BOS-FCO,2,-3.0,1.0
TIA-PSA ,2,102.0,140006.0
BRS-BGY,2,1.0,-3791.0
BRS-FCO,2,-21.0,101.0
MNL-MXP,2,1.0,1.0
BRS-TRN,2,10.0,10.0
BRS-VCE,2,9.0,-40.0
TIA-PMO,2,1000.0,121299.0
CAI-FCO,2,0.0,111.0
CAN-FCO,2,0.0,10.0
CAN-MXP,2,0.0,-110.0
TIA-MXP ,2,49.0,4760.0
CGK-MXP,2,-201.0,-311.0
CLE-MXP,2,0.0,-2.0
SAW -FCO ,2,-1.0,0.0
CMN-BLQ,2,-11.0,-10.0
CMN-MXP,2,0.0,0.0
BKK-BGY,2,0.0,0.0
BHX-BGY,2,10.0,-22290.0
CUN-MXP,2,1.0,-10.0
RAK-BGY,2,50001.0,11070.0
PEK-MXP,2,1.0,-10.0
ADB-MXP,2,-202.0,-1211.0
PEK-FCO,2,0.0,0.0
ZNZ-FCO,2,-1101.0,1000.0
YYZ-MXP,2,0.0,111.0
YYZ-FCO,2,10.0,-130979.0
PHL-FCO,2,0.09090909090909091,0.0
PKX-FCO,2,0.0,0.0
ORD-FCO,2,0.0,0.0
AMM-BGY,2,10.0,8090.0
PRN-MXP,2,-1110100110200050.0,-5.853191128157421e+19
AMM-MXP,2,0.0,-1.0
VKO-BLQ,2,1.0,0.0
PVG-MXP,2,4.0,1.0
TUN-MXP,2,-1.0,-5.0
NCL-FCO,2,0.0,0.0
AUH-MXP,2,-100.0,-112100.0
NCL-BGY,2,-109.0,-118.0
TPA-FCO,2,-1.0,1.0
BEG-FCO,2,0.0,-11.0
BEG-MXP,2,0.0,111.0
BEG-VCE,2,11.0,40.0
BFS-BGY,2,-7.0,-1071.0
TIA-CIY,2,763451228.9166666,40798509893787.086
TIA-FLR,2,0.0,1.0
TIA -MXP,2,-1000.0,-4312.0
LRM-MXP,2,201.0,131.0
MLE-BLQ,2,-1.0,-210.0
MLE-BGY,2,11.0,18.0
DAR-FCO,2,3.0,0.0
EMA-BGY,2,0.0,400.0
TIA -FCO,2,-1748.0,-920869.0
EVN-FCO,2,1.0,11.0
RMO-BLQ,2,9.0,0.0
EWR-FCO,2,-60.0,111209.0
RMO-FCO,2,0.0,0.0
TGD-FCO,2,0.0,85.38461538461539
EDI-BGY,2,-1.0,-112.0
MHD-MXP,2,0.0,-120.0
RUH-FCO,2,99999.0,-1994106.0
RUH-MXP,2,0.0,0.0
RUH-VCE,2,5.0,0.0
MEL-MXP,2,1.0,-10.0
MEL-FCO,2,1.0,0.0
SYD-FCO,2,-1.0,-11.0
SAW -BGY,2,-17.0,-10.0
GYD-FCO,2,40.0,-100.0
MLE-FCO,2,2.0,-11093.0
SGN-FCO,2,0.0,1.0
DXB-VCE,2,-1.0,0.0
RMF-MXP,2,4904.0,117017.0
TIA-BLQ ,2,94.0,108976.0
DOH-MXP,2,0.0,0.0
DPS-FCO,2,0.0,10.0
DXB-PSA,2,11.0,-1.0
DPS-MXP,2,-1.0,10.0
TIA-BRI ,2,-0.15384615384615385,-0.46153846153846156
DTW-FCO,2,0.0,111.0
TIA-CAG,2,0.0,0.0
TIA -TSF,2,1406.0,7369.0
MLE-LIN,2,10.0,9.0
TIA -PSA ,2,-18.0,-121.0
DEL-FCO,2,0.0,0.0
DAR-MXP,2,1.0,0.0
DXB-BLQ,2,-199992011.0,-310991123.0
DXB-NAP,2,0.0,1.0
